Gene.symbol,adj.P.Val,P.Value,logFC
,0.00000103,2.49E-11,-1.89
,0.00000103,3.77E-11,-3.29
,0.00000653,3.58E-10,-1.13
EPS8L3,0.00001124,8.22E-10,-2.17
,0.00012422,1.55E-08,-3.54
,0.00012422,1.67E-08,-1.29
NPAS2,0.00012422,1.72E-08,-1.59
,0.00012422,1.82E-08,-2.67
CAPN5,0.00016446,2.71E-08,-3.2
ATF3,0.0001848,3.56E-08,-1.76
BCAS1,0.0001848,3.72E-08,-3.64
,0.0002043,4.48E-08,-1.75
ZSCAN4,0.00021353,5.08E-08,-1.67
PIGL,0.00030461,7.89E-08,-1.2
DENND2D,0.00030461,8.63E-08,-1.7
POSTN,0.00030461,8.91E-08,4.79
,0.00035143,1.09E-07,-1.79
TMEM51-AS1,0.00035636,1.17E-07,-2.11
ZNF440,0.00037944,1.35E-07,-1.75
ZSCAN4,0.00037944,1.39E-07,-1.66
,0.00038218,1.47E-07,-6.95E-01
PCMTD1,0.00045042,1.81E-07,-1.2
,0.00045918,1.93E-07,-8.52E-01
SLC14A1,0.00048197,2.12E-07,-5.2
,0.00048783,2.23E-07,-2.07
DEGS1,0.00053645,2.63E-07,1.72
NSMAF,0.00053645,2.72E-07,-1.16
LOC105375839,0.00053645,2.75E-07,-9.43E-01
POSTN,0.00057606,3.06E-07,4.89
CASC4,0.00065314,3.63E-07,-1.15
,0.00065314,3.70E-07,-1.91
,0.00068227,3.99E-07,-1.38
ZNF281,0.00070923,4.28E-07,1.24
,0.0007569,4.71E-07,-1.07
,0.00080263,5.14E-07,-8.81E-01
TCF12,0.00088438,6.30E-07,-7.87E-01
CD9,0.00088438,6.32E-07,-1.21
MIR29C///MIR29B2,0.00088438,6.42E-07,-2.23
PLA2G4B///JMJD7-PLA2G4B,0.00088438,6.69E-07,-1.08
GPX8,0.00088438,6.70E-07,2.91
RAB23,0.00088438,6.73E-07,1.55
SLC14A1,0.00088438,6.99E-07,-4.5
,0.00088438,7.10E-07,-1.36
SPPL2B,0.00088438,7.22E-07,-5.88E-01
COPRS,0.00088438,7.40E-07,1.25
KDELC2,0.00088438,7.44E-07,1.52
FAM219B,0.00092836,8.02E-07,-1.29
TMEM51,0.00092836,8.15E-07,-1.29
MPZL3,0.00098736,8.85E-07,-1.31
TRIM31,0.00100197,9.18E-07,-2.66
FAM126A,0.00100197,9.40E-07,2.28
APOBR,0.00100197,9.53E-07,-8.13E-01
PGAP1,0.00103542,1.00E-06,-1.12
YTHDC2,0.00103542,1.04E-06,-1.48
TRIM31,0.00103542,1.05E-06,-2.28
GAS1,0.00103542,1.06E-06,4.69
BTBD16,0.00107245,1.13E-06,-4.41
,0.00107245,1.14E-06,-2.12
DPYSL3,0.00110647,1.19E-06,2.9
,0.00120893,1.33E-06,-8.37E-01
,0.00120893,1.35E-06,-1.9
GPNMB,0.00120893,1.37E-06,3.36
AGAP11,0.00122328,1.43E-06,-2.51
HSD17B2,0.00122328,1.45E-06,-4.64
TRAK1,0.00122328,1.47E-06,-1.53
CLINT1,0.00122328,1.48E-06,-1.63
SEC23A,0.00129414,1.62E-06,1.04
DSC2,0.00129414,1.63E-06,2.9
,0.00129414,1.63E-06,-1.93
SYT17,0.00132175,1.69E-06,-2.11
KIF1B,0.00133069,1.73E-06,9.97E-01
FAM117B,0.00134491,1.77E-06,-6.43E-01
SLC35F6///CENPA,0.00134491,1.82E-06,2.45
TRPS1,0.00134491,1.83E-06,2.9
GPX8,0.00134491,1.85E-06,2.87
HAPLN1,0.00134491,1.87E-06,-2.51
HAPLN1,0.00139924,1.97E-06,-1.5
CTHRC1,0.00140006,2.00E-06,3.76
,0.00146632,2.12E-06,-1.9
CFL2,0.0014904,2.18E-06,2.43
ST3GAL4,0.00149764,2.22E-06,-2.23
ANGPT2,0.0015428,2.31E-06,-1.44
NAA15,0.0015428,2.34E-06,-5.32E-02
,0.00154871,2.39E-06,-7.16E-01
,0.00154871,2.41E-06,-1.13
COL11A1,0.00154871,2.44E-06,4.62
CORO1C,0.00155598,2.48E-06,2.3
EFCAB14,0.00156336,2.52E-06,-1.46
PYROXD2,0.00162103,2.64E-06,-1.39
PLEKHH1,0.00169291,2.79E-06,-2.67
,0.00169291,2.82E-06,-1.51
,0.0017205,2.92E-06,-1.28
EFCAB14,0.0017205,2.93E-06,-9.33E-01
TPST1,0.0017205,2.96E-06,2
,0.00172403,3.00E-06,-8.34E-01
,0.0017393,3.05E-06,-2
ST3GAL5,0.0017911,3.18E-06,-2.58
,0.00179133,3.21E-06,-4.08E-01
,0.00181396,3.28E-06,-9.66E-01
SACS,0.00183693,3.37E-06,2.53
PLA2G4B///JMJD7-PLA2G4B,0.00183693,3.43E-06,-1.52
SELM,0.00183693,3.45E-06,3
CFAP44,0.00183693,3.46E-06,-1.13
YIF1B,0.00187544,3.58E-06,1.35
CALU,0.00187544,3.60E-06,1.31
LOC105373860,0.00190111,3.70E-06,-1.72
LOC286272,0.00190111,3.77E-06,-1.41
FER1L4,0.00190111,3.79E-06,-2.56
MSI2,0.00190111,3.81E-06,-9.80E-01
CORO1C,0.00190111,3.83E-06,1.28
LOX,0.00190111,3.86E-06,3.54
PRRX1,0.00192569,3.94E-06,3.98
AGAP11,0.00193643,4.00E-06,-2.09
,0.00198719,4.16E-06,-9.65E-01
CYP4B1,0.00198719,4.18E-06,-4.29
IGFBP5,0.00203573,4.35E-06,3.29
,0.00203573,4.36E-06,-1.84
ZNF211,0.00203895,4.40E-06,-1.46
DUSP2,0.00213382,4.65E-06,-2.1
NSFL1C,0.00213382,4.68E-06,-1.07
PLXNB3,0.00213897,4.73E-06,-9.26E-01
ATG16L1,0.00218298,4.88E-06,-7.87E-01
TRIM31,0.00218298,4.91E-06,-2.3
,0.00219435,4.98E-06,-1.44
COX4I1,0.00220953,5.05E-06,-9.68E-01
HSPA5,0.0022157,5.12E-06,6.74E-01
,0.0022157,5.16E-06,-1.37
PI15,0.0022157,5.19E-06,2.84
ZNF248,0.00223156,5.31E-06,-4.71E-01
BARD1,0.00223156,5.31E-06,1.7
FN1,0.00223156,5.35E-06,2.29
ACTN1,0.00230766,5.57E-06,1.4
,0.00231911,5.66E-06,-1.7
FN1,0.00231911,5.68E-06,2.48
VSIG2,0.00232125,5.73E-06,-2.85
ADHFE1,0.00240702,6.00E-06,-3.91E-01
CYP3A5,0.00240702,6.17E-06,-3.9
COL11A1,0.00240702,6.18E-06,3.64
GNB4,0.00240702,6.21E-06,2.54
EFEMP1,0.00240702,6.21E-06,3.98
LOC389906,0.00240702,6.28E-06,-1.60E-01
DEGS1,0.00240702,6.28E-06,2.72
ERN2,0.00240702,6.31E-06,-7.39E-01
,0.00240702,6.38E-06,-1.04
COPZ2,0.00240702,6.40E-06,1.5
ZNF350,0.00240702,6.43E-06,-7.05E-01
SLC16A1,0.00249752,6.71E-06,3.19
SMAD3,0.00255894,6.97E-06,-1.81
CD109,0.00255894,7.01E-06,3.36
,0.00255894,7.02E-06,-4.87E-01
,0.00256585,7.09E-06,-1.09
SLC25A27,0.00259161,7.20E-06,-9.83E-01
FN1,0.00259531,7.26E-06,2.17
GPNMB,0.00273614,7.71E-06,2.94
FN1,0.00276798,7.85E-06,2.03
LCOR,0.00280257,8.00E-06,-1.2
,0.00281343,8.08E-06,-6.34E-01
,0.00281343,8.15E-06,-8.88E-01
HSD17B6,0.00281343,8.18E-06,2.57
GXYLT2,0.0028234,8.26E-06,3.35
BAG2,0.00283053,8.38E-06,2.86
CYP3A5,0.00283053,8.39E-06,-3.39
PRDM2,0.00284022,8.47E-06,-9.86E-01
FLT1,0.00285419,8.56E-06,-1.15
DPYSL3,0.00286097,8.63E-06,3.2
,0.00289494,8.93E-06,-5.44E-01
,0.00289494,8.95E-06,-2.70E-01
CCDC24,0.00289494,8.99E-06,-5.79E-01
TNPO1,0.00289494,9.01E-06,-4.07E-01
,0.00289494,9.06E-06,-3.30E-01
,0.00289494,9.06E-06,-1.23
NENF,0.00289494,9.11E-06,8.15E-01
GLT8D2,0.00290876,9.22E-06,3.13
,0.00290876,9.26E-06,-7.87E-01
INSR,0.00293216,9.39E-06,-1
NLRP1,0.00298499,9.64E-06,-2.01E-01
LAMC3,0.00298499,9.67E-06,-5.90E-01
PLEKHA7,0.00298499,9.72E-06,-1.32
LCOR,0.00300033,9.82E-06,-1.4
TRIM2,0.00300373,9.91E-06,-2.74E-01
,0.00300373,9.94E-06,-9.01E-01
,0.00312182,1.04E-05,-5.42E-01
CAPS,0.00314618,1.05E-05,-1.04
,0.00314618,1.06E-05,-9.10E-01
CYP4F12,0.00332844,1.13E-05,-2.17
CYP3A5,0.00332844,1.13E-05,-3.72
RABEP2,0.00333163,1.14E-05,-9.48E-01
LOC101930404///SNORD116-28///SNORD115-26///SNORD115-13///SNORD115-7///SNORD116-22///SNORD116-4///PWARSN///SNORD107///SNURF///SNRPN///IPW,0.00333163,1.15E-05,-1.57E-01
MUC2,0.00336256,1.16E-05,-1.46
SLC22A5,0.00338213,1.18E-05,-1.13
,0.00338213,1.19E-05,-7.04E-01
BMP7,0.00338213,1.19E-05,-1.79
ECT2,0.00338308,1.19E-05,1.46
ZAK,0.00339417,1.20E-05,1.72
ZNF432,0.00339591,1.21E-05,-1.67
PRR11,0.0034156,1.23E-05,1.6
H2AFY,0.0034156,1.23E-05,-1.22
ANLN,0.00343482,1.26E-05,1.89
SLC39A14,0.00343482,1.26E-05,1.97
PLEKHA7,0.00343482,1.26E-05,-1.88
ABCC3,0.00343482,1.26E-05,-1.56
YPEL3,0.00344276,1.27E-05,-1.21
TRAK1,0.00344769,1.28E-05,-2.22
LGALS1,0.00350528,1.31E-05,1.63
FOXA1,0.00350528,1.32E-05,-2.75
ACOXL,0.00350528,1.33E-05,-7.64E-01
NENF,0.00350528,1.34E-05,9.89E-01
,0.00350528,1.34E-05,-8.01E-01
ENAH,0.00350528,1.34E-05,1.19
LOC105375172,0.00350528,1.35E-05,-3.82
,0.00350528,1.36E-05,-2.73
BMP5,0.00350528,1.36E-05,-9.36E-01
,0.00360306,1.40E-05,-1.73
KLHL31,0.00363967,1.42E-05,-9.37E-01
S100A6,0.00369531,1.45E-05,-3
FBN1,0.00372255,1.47E-05,2.82
NR2C1,0.00372255,1.48E-05,-3.58E-01
PATJ,0.00392454,1.56E-05,-6.31E-01
,0.00397431,1.59E-05,-6.92E-01
COL3A1,0.00398003,1.61E-05,3.64
,0.00398003,1.61E-05,-2.24
LPCAT4,0.00398003,1.62E-05,-1.06
INSR,0.00398003,1.63E-05,-1.04
CCDC146,0.00398003,1.63E-05,-1.02
HOXB5,0.0041099,1.69E-05,-8.41E-01
,0.00412638,1.71E-05,-8.19E-01
ANKRD20A11P,0.00412638,1.71E-05,-1.5
SF3B1,0.00424851,1.77E-05,-4.43E-01
,0.00428294,1.79E-05,-1.04
TNFSF15,0.00429308,1.81E-05,-1.37
ARL4C,0.00436355,1.84E-05,2.8
CNN3,0.00439569,1.87E-05,1.98
C6orf89,0.00439569,1.87E-05,-2.38E-01
,0.00439569,1.88E-05,-1.34
,0.00441108,1.90E-05,3.49
,0.00441734,1.91E-05,-6.11E-01
GREM1,0.00442522,1.93E-05,4.46
,0.00442522,1.94E-05,-2.57E-01
CACNA2D1,0.00442522,1.94E-05,3.05
TRIM38,0.00442522,1.94E-05,-1.21
CSAD,0.00462961,2.06E-05,-1.66
CAMK2N1,0.00462961,2.06E-05,-2.87
ACTN1,0.00462961,2.06E-05,1.71
ADGRF1,0.00464871,2.07E-05,-3.18
MFAP3L,0.00469466,2.10E-05,-7.59E-01
CERCAM,0.00475692,2.15E-05,1.68
GAREM1,0.00475692,2.15E-05,-2.29
VSIG2,0.00475692,2.17E-05,-3.27
ZNF440,0.00475692,2.17E-05,-1.75
AZGP1,0.00475692,2.18E-05,-1.75
IKBKB,0.00475692,2.18E-05,-1.25
COLGALT1,0.00475915,2.19E-05,7.35E-01
CHI3L1,0.00479977,2.23E-05,3.96
SGCB,0.00479977,2.24E-05,2.17
YTHDC2,0.00479977,2.24E-05,-8.66E-01
IKBIP,0.00484007,2.27E-05,1.47
,0.00484928,2.28E-05,-1.47
NRP2,0.004897,2.31E-05,2.49
,0.00493285,2.34E-05,-1.52
TBX3,0.00498172,2.37E-05,-2.44
LOC100507281,0.00509655,2.44E-05,-7.79E-01
,0.00509655,2.44E-05,-2.54E-01
,0.00509655,2.45E-05,-2.34
NCBP3,0.00509694,2.47E-05,-7.11E-01
SNURF///SNRPN,0.00509694,2.48E-05,-1.19
,0.00509694,2.50E-05,-9.29E-01
CEP170P1///CEP170,0.00509694,2.50E-05,1.03
C17orf100,0.00509694,2.52E-05,-8.21E-01
,0.00509694,2.53E-05,-6.77E-02
ANP32E,0.00509694,2.53E-05,1.78
,0.00509694,2.53E-05,-1.45
MAPK1IP1L///FCF1,0.00509694,2.54E-05,7.85E-01
,0.00509694,2.54E-05,-1.06
TOLLIP,0.0052043,2.61E-05,-1.17
GPC6,0.0052043,2.62E-05,2.91
,0.00520435,2.63E-05,-5.89E-01
TPM2,0.00520435,2.64E-05,2.2
MECOM,0.00520866,2.65E-05,-1.59
SULF1,0.00525874,2.68E-05,4.03
CCDC80,0.00531294,2.72E-05,3.12
EXOSC3,0.00535554,2.76E-05,1.32
,0.00535554,2.76E-05,-4.31E-01
COL3A1,0.00536106,2.78E-05,1.55
GPX2,0.00536106,2.79E-05,-1.78
CLMP,0.00536106,2.79E-05,2.62
RACGAP1,0.00537935,2.81E-05,1.27
RALGAPA2,0.00538307,2.83E-05,-2.6
LOC105372607,0.00542592,2.86E-05,-8.00E-01
LOC286272,0.00545713,2.88E-05,-1.54
COL3A1,0.00550883,2.92E-05,1.64
CAPN3,0.00550883,2.95E-05,-7.56E-01
,0.00550883,2.95E-05,-8.63E-01
PCMTD1,0.00550883,2.97E-05,-8.70E-01
TMEM139,0.00550883,2.97E-05,-1.81
TRIM2,0.00550883,2.98E-05,-6.21E-01
ELF3,0.00550883,2.98E-05,-2.67
KCNQ1,0.00555932,3.02E-05,-1.68
,0.00567402,3.10E-05,-8.19E-01
,0.00567402,3.10E-05,-2.13
,0.00567877,3.12E-05,-9.78E-01
,0.00571739,3.15E-05,-1.27
,0.00571739,3.16E-05,-7.69E-01
FAM219B,0.00573537,3.18E-05,-1.31
SULT1A1,0.00573537,3.19E-05,-1.54
,0.00575318,3.22E-05,-8.53E-01
ACADVL,0.00575318,3.22E-05,-9.83E-01
SLC16A1,0.00586193,3.29E-05,2.74
HAPLN1,0.00590579,3.33E-05,-1.49
SNORD68///RPL13,0.00591636,3.34E-05,-4.49E-01
CYP3A4,0.00592266,3.36E-05,-1.17
ZNF281,0.00597912,3.40E-05,1.04
,0.0060291,3.44E-05,-2.19
